trial_id,num_layers,units_0,dropout_0,activation,learning_rate,val_loss,val_mae,best_num_layers,best_units_0,best_dropout_0,best_activation,best_learning_rate,best_val_loss,best_val_mae,units_1,dropout_1,units_2,dropout_2
0087,3,32,0.4,relu,0.001,0.003299425123259425,"MetricObservation(value=[0.08293230086565018], step=26)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0070,3,32,0.4,relu,0.0005,0.003311426844447851,"MetricObservation(value=[0.09960410743951797], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0068,3,64,0.5,tanh,0.01,0.0033283873926848173,"MetricObservation(value=[0.05706735700368881], step=5)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.5,96.0,0.4
0065,3,64,0.5,tanh,0.01,0.0033605785574764013,"MetricObservation(value=[0.05721094459295273], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.5,96.0,0.4
0075,3,128,0.4,tanh,0.001,0.0033622956834733486,"MetricObservation(value=[0.052146829664707184], step=7)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.5,128.0,0.1
0061,3,96,0.30000000000000004,tanh,0.01,0.0034540644846856594,"MetricObservation(value=[0.06413356214761734], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0038,2,64,0.30000000000000004,relu,0.01,0.0035438514314591885,"MetricObservation(value=[0.06962162256240845], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.5,,
0021,3,128,0.2,relu,0.005,0.003614041954278946,"MetricObservation(value=[0.08233475685119629], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,32.0,0.1,96.0,0.30000000000000004
0063,3,32,0.4,relu,0.0005,0.0036589866504073143,"MetricObservation(value=[0.11358924955129623], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.4,32.0,0.5
0078,1,128,0.4,sigmoid,0.001,0.0036610481329262257,"MetricObservation(value=[0.0504264310002327], step=9)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0057,3,128,0.5,tanh,0.001,0.0037346642930060625,"MetricObservation(value=[0.05738706886768341], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.2,96.0,0.2
0044,2,128,0.2,sigmoid,0.01,0.0037753223441541195,"MetricObservation(value=[0.05473071709275246], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.30000000000000004,,
0064,3,128,0.30000000000000004,tanh,0.001,0.003781247651204467,"MetricObservation(value=[0.054821036756038666], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.30000000000000004,64.0,0.1
0053,2,32,0.4,tanh,0.0005,0.0037851943634450436,"MetricObservation(value=[0.06185653433203697], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,128.0,0.5,,
0043,1,32,0.2,sigmoid,0.005,0.0038418963085860014,"MetricObservation(value=[0.05181312561035156], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0042,1,96,0.1,sigmoid,0.005,0.0039052553474903107,"MetricObservation(value=[0.05666090175509453], step=0)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0020,1,128,0.30000000000000004,tanh,0.001,0.003907200880348682,"MetricObservation(value=[0.06442546099424362], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0000,1,128,0.5,sigmoid,0.01,0.0039452193304896355,"MetricObservation(value=[0.061411261558532715], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0037,1,128,0.5,sigmoid,0.01,0.0039504156447947025,"MetricObservation(value=[0.05564301460981369], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
0055,2,128,0.30000000000000004,tanh,0.0005,0.0040116021409630775,"MetricObservation(value=[0.06334050744771957], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.5,,
0027,2,64,0.30000000000000004,relu,0.01,0.004013060126453638,"MetricObservation(value=[0.10112889856100082], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.5,,
0079,2,96,0.30000000000000004,tanh,0.0001,0.0040231202729046345,"MetricObservation(value=[0.059007205069065094], step=9)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,128.0,0.30000000000000004,,
0054,2,32,0.5,tanh,0.001,0.004057458136230707,"MetricObservation(value=[0.06346297264099121], step=3)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,96.0,0.4,,
0008,3,96,0.4,sigmoid,0.01,0.004074533004313707,"MetricObservation(value=[0.06660959124565125], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,64.0,0.5,128.0,0.30000000000000004
0032,1,64,0.2,relu,0.01,0.0040877219289541245,"MetricObservation(value=[0.05757046863436699], step=1)",1,32,0.2,relu,0.01,0.0024231933057308197,0.03980160877108574,,,,
