trial_id,num_layers,best_num_layers,units_0,best_units_0,dropout_0,best_dropout_0,activation,best_activation,learning_rate,best_learning_rate,val_loss,best_val_loss,val_mae,best_val_mae,units_1,dropout_1,units_2,dropout_2
0076,1,1.0,32,32.0,0.2,0.2,relu,relu,0.01,0.01,0.002406863495707512,0.0024365363642573357,"MetricObservation(value=[0.053405486047267914], step=7)",0.04004983976483345,,,,
0085,1,1.0,32,32.0,0.2,0.2,sigmoid,relu,0.005,0.01,0.002431404311209917,0.0024365363642573357,"MetricObservation(value=[0.04070642217993736], step=25)",0.04004983976483345,,,,
0050,1,1.0,32,32.0,0.1,0.2,sigmoid,relu,0.01,0.01,0.0024320560041815042,0.0024365363642573357,"MetricObservation(value=[0.04028547555208206], step=3)",0.04004983976483345,,,,
0088,1,1.0,96,32.0,0.1,0.2,relu,relu,0.001,0.01,0.0024567358195781708,0.0024365363642573357,"MetricObservation(value=[0.04272674769163132], step=29)",0.04004983976483345,,,,
0082,1,1.0,32,32.0,0.2,0.2,relu,relu,0.01,0.01,0.00245724618434906,0.0024365363642573357,"MetricObservation(value=[0.054802313446998596], step=1)",0.04004983976483345,,,,
0074,1,1.0,96,32.0,0.30000000000000004,0.2,relu,relu,0.01,0.01,0.002471683081239462,0.0024365363642573357,"MetricObservation(value=[0.05018777400255203], step=9)",0.04004983976483345,,,,
0084,1,1.0,64,32.0,0.2,0.2,sigmoid,relu,0.005,0.01,0.0024871237110346556,0.0024365363642573357,"MetricObservation(value=[0.04271405190229416], step=14)",0.04004983976483345,,,,
0072,1,1.0,64,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.0024973906110972166,0.0024365363642573357,"MetricObservation(value=[0.043348703533411026], step=14)",0.04004983976483345,,,,
0051,1,1.0,64,32.0,0.2,0.2,relu,relu,0.01,0.01,0.002502844436094165,0.0024365363642573357,"MetricObservation(value=[0.0448165237903595], step=17)",0.04004983976483345,,,,
0089,2,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.005,0.01,0.0025036979932338,0.0024365363642573357,"MetricObservation(value=[0.04855600371956825], step=29)",0.04004983976483345,32.0,0.4,,
0083,1,1.0,96,32.0,0.30000000000000004,0.2,relu,relu,0.01,0.01,0.0025132803712040186,0.0024365363642573357,"MetricObservation(value=[0.04845202714204788], step=7)",0.04004983976483345,,,,
0067,1,1.0,64,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.002584195462986827,0.0024365363642573357,"MetricObservation(value=[0.049525536596775055], step=5)",0.04004983976483345,,,,
0040,1,1.0,64,32.0,0.2,0.2,relu,relu,0.01,0.01,0.002601043554022908,0.0024365363642573357,"MetricObservation(value=[0.057426709681749344], step=1)",0.04004983976483345,,,,
0048,1,1.0,32,32.0,0.1,0.2,sigmoid,relu,0.01,0.01,0.0026040414813905954,0.0024365363642573357,"MetricObservation(value=[0.04411228746175766], step=2)",0.04004983976483345,,,,
0046,1,1.0,64,32.0,0.2,0.2,relu,relu,0.01,0.01,0.002627007896080613,0.0024365363642573357,"MetricObservation(value=[0.049731891602277756], step=1)",0.04004983976483345,,,,
0056,1,1.0,64,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.002721671247854829,0.0024365363642573357,"MetricObservation(value=[0.050875093787908554], step=3)",0.04004983976483345,,,,
0081,1,1.0,64,32.0,0.2,0.2,sigmoid,relu,0.005,0.01,0.002778070978820324,0.0024365363642573357,"MetricObservation(value=[0.04497490078210831], step=5)",0.04004983976483345,,,,
0049,1,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.001,0.01,0.002804776653647423,0.0024365363642573357,"MetricObservation(value=[0.04811949282884598], step=3)",0.04004983976483345,,,,
0030,2,1.0,128,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.002824030350893736,0.0024365363642573357,"MetricObservation(value=[0.05269522964954376], step=1)",0.04004983976483345,32.0,0.1,,
0073,3,1.0,96,32.0,0.30000000000000004,0.2,tanh,relu,0.01,0.01,0.0028303731232881546,0.0024365363642573357,"MetricObservation(value=[0.057329241186380386], step=4)",0.04004983976483345,64.0,0.4,32.0,0.5
0047,2,1.0,128,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.0028350113425403833,0.0024365363642573357,"MetricObservation(value=[0.04635324329137802], step=5)",0.04004983976483345,32.0,0.1,,
0069,3,1.0,96,32.0,0.30000000000000004,0.2,tanh,relu,0.01,0.01,0.002878041472285986,0.0024365363642573357,"MetricObservation(value=[0.061495862901210785], step=3)",0.04004983976483345,64.0,0.4,32.0,0.5
0034,2,1.0,128,32.0,0.4,0.2,tanh,relu,0.01,0.01,0.002881505060940981,0.0024365363642573357,"MetricObservation(value=[0.054263826459646225], step=1)",0.04004983976483345,32.0,0.1,,
0045,1,1.0,32,32.0,0.1,0.2,sigmoid,relu,0.01,0.01,0.0029236224945634604,0.0024365363642573357,"MetricObservation(value=[0.04981144890189171], step=1)",0.04004983976483345,,,,
0080,1,1.0,64,32.0,0.5,0.2,tanh,relu,0.001,0.01,0.003074104432016611,0.0024365363642573357,"MetricObservation(value=[0.05534369871020317], step=9)",0.04004983976483345,,,,
0071,3,1.0,128,32.0,0.5,0.2,tanh,relu,0.001,0.01,0.003177555510774255,0.0024365363642573357,"MetricObservation(value=[0.051366668194532394], step=4)",0.04004983976483345,96.0,0.2,96.0,0.2
0036,1,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.001,0.01,0.0031989587005227804,0.0024365363642573357,"MetricObservation(value=[0.0518798790872097], step=1)",0.04004983976483345,,,,
0086,2,1.0,32,32.0,0.30000000000000004,0.2,relu,relu,0.0001,0.01,0.0032030139118433,0.0024365363642573357,"MetricObservation(value=[0.07032308727502823], step=25)",0.04004983976483345,128.0,0.5,,
0087,3,1.0,32,32.0,0.4,0.2,relu,relu,0.001,0.01,0.003299425123259425,0.0024365363642573357,"MetricObservation(value=[0.08293230086565018], step=26)",0.04004983976483345,64.0,0.4,32.0,0.5
0070,3,1.0,32,32.0,0.4,0.2,relu,relu,0.0005,0.01,0.003311426844447851,0.0024365363642573357,"MetricObservation(value=[0.09960410743951797], step=3)",0.04004983976483345,64.0,0.4,32.0,0.5
0068,3,1.0,64,32.0,0.5,0.2,tanh,relu,0.01,0.01,0.0033283873926848173,0.0024365363642573357,"MetricObservation(value=[0.05706735700368881], step=5)",0.04004983976483345,96.0,0.5,96.0,0.4
0065,3,1.0,64,32.0,0.5,0.2,tanh,relu,0.01,0.01,0.0033605785574764013,0.0024365363642573357,"MetricObservation(value=[0.05721094459295273], step=3)",0.04004983976483345,96.0,0.5,96.0,0.4
0075,3,1.0,128,32.0,0.4,0.2,tanh,relu,0.001,0.01,0.0033622956834733486,0.0024365363642573357,"MetricObservation(value=[0.052146829664707184], step=7)",0.04004983976483345,64.0,0.5,128.0,0.1
0061,3,1.0,96,32.0,0.30000000000000004,0.2,tanh,relu,0.01,0.01,0.0034540644846856594,0.0024365363642573357,"MetricObservation(value=[0.06413356214761734], step=3)",0.04004983976483345,64.0,0.4,32.0,0.5
0038,2,1.0,64,32.0,0.30000000000000004,0.2,relu,relu,0.01,0.01,0.0035438514314591885,0.0024365363642573357,"MetricObservation(value=[0.06962162256240845], step=1)",0.04004983976483345,96.0,0.5,,
0021,3,1.0,128,32.0,0.2,0.2,relu,relu,0.005,0.01,0.003614041954278946,0.0024365363642573357,"MetricObservation(value=[0.08233475685119629], step=1)",0.04004983976483345,32.0,0.1,96.0,0.30000000000000004
0063,3,1.0,32,32.0,0.4,0.2,relu,relu,0.0005,0.01,0.0036589866504073143,0.0024365363642573357,"MetricObservation(value=[0.11358924955129623], step=3)",0.04004983976483345,64.0,0.4,32.0,0.5
0078,1,1.0,128,32.0,0.4,0.2,sigmoid,relu,0.001,0.01,0.0036610481329262257,0.0024365363642573357,"MetricObservation(value=[0.0504264310002327], step=9)",0.04004983976483345,,,,
0057,3,1.0,128,32.0,0.5,0.2,tanh,relu,0.001,0.01,0.0037346642930060625,0.0024365363642573357,"MetricObservation(value=[0.05738706886768341], step=3)",0.04004983976483345,96.0,0.2,96.0,0.2
0044,2,1.0,128,32.0,0.2,0.2,sigmoid,relu,0.01,0.01,0.0037753223441541195,0.0024365363642573357,"MetricObservation(value=[0.05473071709275246], step=1)",0.04004983976483345,64.0,0.30000000000000004,,
0064,3,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.001,0.01,0.003781247651204467,0.0024365363642573357,"MetricObservation(value=[0.054821036756038666], step=3)",0.04004983976483345,64.0,0.30000000000000004,64.0,0.1
0053,2,1.0,32,32.0,0.4,0.2,tanh,relu,0.0005,0.01,0.0037851943634450436,0.0024365363642573357,"MetricObservation(value=[0.06185653433203697], step=3)",0.04004983976483345,128.0,0.5,,
0043,1,1.0,32,32.0,0.2,0.2,sigmoid,relu,0.005,0.01,0.0038418963085860014,0.0024365363642573357,"MetricObservation(value=[0.05181312561035156], step=1)",0.04004983976483345,,,,
0042,1,1.0,96,32.0,0.1,0.2,sigmoid,relu,0.005,0.01,0.0039052553474903107,0.0024365363642573357,"MetricObservation(value=[0.05666090175509453], step=0)",0.04004983976483345,,,,
0020,1,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.001,0.01,0.003907200880348682,0.0024365363642573357,"MetricObservation(value=[0.06442546099424362], step=1)",0.04004983976483345,,,,
0000,1,1.0,128,32.0,0.5,0.2,sigmoid,relu,0.01,0.01,0.0039452193304896355,0.0024365363642573357,"MetricObservation(value=[0.061411261558532715], step=1)",0.04004983976483345,,,,
0037,1,1.0,128,32.0,0.5,0.2,sigmoid,relu,0.01,0.01,0.0039504156447947025,0.0024365363642573357,"MetricObservation(value=[0.05564301460981369], step=1)",0.04004983976483345,,,,
0055,2,1.0,128,32.0,0.30000000000000004,0.2,tanh,relu,0.0005,0.01,0.0040116021409630775,0.0024365363642573357,"MetricObservation(value=[0.06334050744771957], step=3)",0.04004983976483345,64.0,0.5,,
0027,2,1.0,64,32.0,0.30000000000000004,0.2,relu,relu,0.01,0.01,0.004013060126453638,0.0024365363642573357,"MetricObservation(value=[0.10112889856100082], step=1)",0.04004983976483345,96.0,0.5,,
0079,2,1.0,96,32.0,0.30000000000000004,0.2,tanh,relu,0.0001,0.01,0.0040231202729046345,0.0024365363642573357,"MetricObservation(value=[0.059007205069065094], step=9)",0.04004983976483345,128.0,0.30000000000000004,,
0054,2,1.0,32,32.0,0.5,0.2,tanh,relu,0.001,0.01,0.004057458136230707,0.0024365363642573357,"MetricObservation(value=[0.06346297264099121], step=3)",0.04004983976483345,96.0,0.4,,
0008,3,1.0,96,32.0,0.4,0.2,sigmoid,relu,0.01,0.01,0.004074533004313707,0.0024365363642573357,"MetricObservation(value=[0.06660959124565125], step=1)",0.04004983976483345,64.0,0.5,128.0,0.30000000000000004
0032,1,1.0,64,32.0,0.2,0.2,relu,relu,0.01,0.01,0.0040877219289541245,0.0024365363642573357,"MetricObservation(value=[0.05757046863436699], step=1)",0.04004983976483345,,,,
0031,3,1.0,96,32.0,0.1,0.2,relu,relu,0.005,0.01,0.004111624322831631,0.0024365363642573357,"MetricObservation(value=[0.1657501757144928], step=0)",0.04004983976483345,128.0,0.5,32.0,0.4
0041,3,1.0,96,32.0,0.1,0.2,relu,relu,0.005,0.01,0.004117712844163179,0.0024365363642573357,"MetricObservation(value=[0.08825133740901947], step=1)",0.04004983976483345,128.0,0.5,32.0,0.4
0019,1,1.0,96,32.0,0.1,0.2,sigmoid,relu,0.005,0.01,0.004145617596805096,0.0024365363642573357,"MetricObservation(value=[0.05169503018260002], step=1)",0.04004983976483345,,,,
0025,1,1.0,32,32.0,0.2,0.2,sigmoid,relu,0.005,0.01,0.004166156519204378,0.0024365363642573357,"MetricObservation(value=[0.065347820520401], step=1)",0.04004983976483345,,,,
0039,3,1.0,96,32.0,0.4,0.2,sigmoid,relu,0.01,0.01,0.004244773183017969,0.0024365363642573357,"MetricObservation(value=[0.060224439948797226], step=1)",0.04004983976483345,64.0,0.5,128.0,0.30000000000000004
